absolute lifetime	A limit on how long a session may last after sign-in, however active it is; the app sets it to 12 hours.
absolute path	A path that starts from the top of the file system, such as `/c/dev/secure-doc-viewer`, and so means the same wherever you are.	absolute
access analyzer	An AWS tool that reports which resources, such as buckets, can be reached from outside your account.
access level	A Java keyword (`public`, `private`, package-private) that decides who may use a class, field or method.
actor	In a threat model, a person or program that can interact with the system, such as a reader, a publisher or an attacker.
Actuator	The Spring Boot library that adds operational endpoints such as health checks and metrics.
adapter	A design pattern in which a small class translates one interface into the one your code expects.
administrator	The role that may manage users, sessions and the audit log, and see every document; in code, `ADMIN`.
Amazon CloudFront	The AWS content delivery network, which serves files from locations near the reader.
Amazon CloudWatch	The AWS service that collects logs and metrics from ECS and the load balancer and raises alarms.
Amazon ECR	Elastic Container Registry, the AWS registry that stores container images.
Amazon ECS	Elastic Container Service, the AWS service that runs containers.
Amazon ElastiCache	An AWS-managed in-memory store (Valkey or Redis OSS) that all tasks can share.
Amazon EventBridge Scheduler	An AWS service that starts a task or another target on a schedule.
Amazon Managed Service for Prometheus	An AWS-managed store that accepts Prometheus metrics, so you do not run a Prometheus server yourself.
Amazon RDS	Relational Database Service: AWS runs a database such as MySQL for you, including patching, backups and failover.
Amazon Route 53	The AWS DNS service.
Amazon S3	Simple Storage Service: AWS object storage that keeps files (objects) by key in buckets, with no real directories and no atomic folder rename.
Angular	The framework, written in TypeScript, in which the app's browser side is built from components, services and routes.
Angular CLI	The `ng` command-line program that creates, serves, builds and tests an Angular project.
annotation	A label starting with `@` that you attach to Java code so that a framework or the compiler can read it.
application context	Spring's container: the object that creates, holds and connects all of the application's beans.
Application Load Balancer (ALB)	An AWS service that receives HTTPS requests, spreads them over healthy tasks and health-checks each one.
architectural pattern	A named, large-scale shape for arranging a whole system, such as layers, a gateway or an event log.
argument	A value you give to a command or to a method call so that it knows what to act on.
ARN (Amazon Resource Name)	The unique address of one AWS resource, such as a secret or a role.
arrow function	A short way to write a function in JavaScript and TypeScript, using `=>`.
asset	In a threat model, something worth protecting, such as the documents, the signing secret or the accounts.
atomic	Describes a step that happens completely or not at all, so that nothing else can see it half done.
audit log	The persisted record of who did what and when, which administrators can search and export; the audit trail is its content.
audit trail	The permanent, append-only record of important actions such as sign-ins, uploads, views and denied requests, kept so that events can be investigated later.
authentication	Proving who you are, for example with a username and password.
authorization	Deciding what an authenticated person is allowed to do.
auto-configuration	Spring Boot's habit of setting up sensible defaults for the libraries it finds on the classpath.
Availability Zone (AZ)	One or more separate data centers inside an AWS Region; using two means a failure in one does not take you down.
AWS Backup	An AWS service that schedules and manages backups and restores of databases and storage.
AWS Certificate Manager (ACM)	The AWS service that issues public TLS certificates and renews them.
AWS Fargate	A way to run ECS containers without managing servers.
AWS Secrets Manager	The AWS service that stores secrets and can inject them into a container as environment variables at start.
AWS WAF	A web application firewall that attaches rules to a load balancer or a CloudFront distribution.
axe-core	A library that scans a rendered page for accessibility problems, such as low contrast or missing labels.
backend	The part of an application that runs on a server and holds the data and the rules.
BCrypt	A password-hashing function that is deliberately slow and reads at most 72 bytes of the password.
bean	An object that Spring creates and manages, from a class labeled with an annotation such as `@Service`.
Bean Validation	The Java standard for declaring input rules with annotations such as `@NotBlank` and `@Size`.
boxing	Java's automatic conversion between a primitive value such as `int` and its object form such as `Integer`.
branch	A movable name for a line of work in Git.
browser	The program, such as Chrome, Firefox, Safari or Edge, that requests web pages and runs their code.
build	The sequence of steps that turns source code into a tested, packaged program.
build context	The folder that Docker sends to the builder when you build an image.
build tool	A program that compiles code, runs tests and packages the result; Maven is the one this project uses for Java.
bulkhead	A design pattern that gives each kind of work its own limit, so that overload in one does not sink the rest.
bytecode	The compact instructions that the Java compiler produces and the JVM runs.
cache	A place where a copy of something is kept so that it can be served again faster.
camel case	A naming style with no spaces in which each word after the first starts with a capital letter, such as `tileCount`.
canonical string	The fixed, unambiguous text that is signed when a tile token is made: the payload fields joined in a set order.
capability URL	A URL whose possession is what lets you fetch the one thing it names; a signed tile URL is an example.
CDN (content delivery network)	A network of servers around the world that keeps copies of files near readers so that they load quickly.
ceiling division	Division that rounds up, used to count how many tiles are needed to cover a page.
certificate	A signed statement, issued by an authority the browser trusts, that a public key belongs to a given domain.
certificate authority	An organization that browsers trust to issue certificates.
chain of responsibility	A design pattern in which a request passes along a line of handlers, each of which may handle it, change it or pass it on.
change detection	Angular's process of deciding which parts of the screen to redraw when data changes.
checked exception	A Java exception, such as `IOException`, that a method must catch or declare with `throws`.
CI (continuous integration)	The practice of running tests and checks automatically on every proposed change.
CIDR	A compact way to write a range of network addresses, such as `10.0.0.0/16`.
class	A named blueprint in Java that describes the data and the behavior of a kind of object.
clickjacking	An attack that hides a real page inside a frame on a hostile page so that you click on it without knowing.
client	A program that asks for things over a network; your browser is a client.
clone	To copy an existing Git repository, with its history, to your machine.
code review	The practice of having someone else read a change before it is merged.
collection	A Java object that holds many values, such as a list, a set or a map.
command line	A text interface in which you type commands to the computer; see terminal.
commit	A saved state in Git: a snapshot of every tracked file at one moment, with a message and a unique identifier.
commit SHA	The long hexadecimal identifier that uniquely names a Git commit.
compiler	A program that checks source code and translates it into a form that a machine can run.
compiler error	A message from the compiler that stops the build before anything runs.
component scanning	Spring's search of your packages for annotated classes to register as beans.
composite primary key	A primary key made of more than one column, such as a document and a user together.
composition	Building a class by giving it other objects to use, instead of inheriting from another class.
computed signal	An Angular signal whose value is calculated from other signals and recalculated only when they change.
